Merged_Location,lon,lat
"Bootleg Brewery,
			37 Wildberry Rd, Wilyabrup, Western Australia",115.0551139,-33.7567167
"The Grove Distillery and Brewery,
			491 Metricup Road, Wilyabrup, Western Australia",115.0885084,-33.782418
"The Margaret River Chocolate Company,
			415 Harmans Mill Rd and Tom Cullity Drive, Metricup, Western Australia",115.077501,-33.7998238
"Wild Hop Brewing Company,
			1301 Wildwood Road, Yallingup, Western Australia",115.0638318,-33.6951474
"Cape Lavender Teahouse
			2 Canal Rocks Rd, Yallingup, Western Australia",115.0306355,-33.6695022
"Simmo's Ice Creamery
			161 Commonage Rd, Quindalup, Western Australia",115.113,-33.6400222
"Optimal Pharmacy Plus Waikiki
			Shop 9 Stargate Shopping Centre, 78 Charthouse Rd, Waikiki, Western Australia",115.74537,-32.3129839
"Terry White Chemmart Waikiki
			Waikiki Village Shopping Centre, 19 Read St, Waikiki, Western Australia",115.753824,-32.3138981
"Bailey Nelson Optometrist,
			The State Buildings, corner of Barrack St and St George's Terrace, Perth, Western Australia",115.8600234,-31.9555478
"Port Coogee Marina (Beach and BBQ area),
			Ngarkal Beach, North Coogee, Western Australia",115.7608489,-32.1012077
"Bunnings O'Connor,
			Cnr South Street and, Yarrick St, O'Connor, Western Australia",115.7970862,-32.063455
"Woolworths Coolbellup,
			Coolbellup Village Shopping Centre, 1 Waverley Rd, Coolbellup, Western Australia",115.8076128,-32.0809495
"ANZ Bank,
			Kardinya Park Shopping Centre, 28/15 South St, Kardinya, Western Australia",115.8162279,-32.0679797
"Coles Kardinya,
			North Lake Road and South Street, Kardinya, Western Australia",115.8157236,-32.06737
"Commonwealth Bank Spearwood Branch,
			Shops 20 and 21, Stargate Shopping Centre, 432 Rockingham Rd, Spearwood, Western Australia",115.7830592,-32.1148951
"Spudshed Spearwood,
			Stargate Shopping Centre, 432 Rockingham Rd, Spearwood, Western Australia",115.7830348,-32.1156475
"Yallingup General Store and Cafe,
			16 Yallingup Beach Rd, Yallingup, Western Australia",115.0320717,-33.6455464
"Yallingup Gugelhupf,
			18 Yallingup Beach Rd, Yallingup, Western Australia",115.0317535,-33.6456413
"Dunsborough Bakery
			243 Naturaliste Terrace, Dunsborough, Western Australia",115.1065027,-33.6153988
"Coles (Dunsborough Centrepoint),
			Dunn Bay Rd and Cape Naturaliste Rd, Dunsborough, Western Australia",115.1052192,-33.6155873
"BP Cowaramup
			Cnr Bussell Hwy and Roy Earl Dr, Cowaramup, Western Australia",115.1004448,-33.8551933
"Shell Coles Express (Bunbury Gateway),
			12 Claughton Way, Glen Iris, Western Australia",115.6852934,-33.3347099
"Woolworths Waikiki
			Waikiki Village Shopping Centre, 7 Read St, Waikiki, Western Australia",115.7530229,-32.313777
"Jesters Waikiki,
			Shop 7, Village Shopping Centre, Read Street, Waikiki, Western Australia",115.7528852,-32.3136884
"Willagee Liquor Store,
			72 Archibald Street, Willagee, Western Australia",115.8066528,-32.0529627
"BP Kardinya,
			88 Gilbertson Road, Kardinya, Western Australia",115.819923,-32.068956
"Shell Coles Express Armadale,
			Corner of South Western Highway and Dickens Place, Armadale, Western Australia",116.0146636,-32.168888
